SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,37426,OPTIDX,0,BANKNIFTY-Jun2024-55700-PE,15,BANKNIFTY 19 JUN 55700 PUT,19-06-2024 14:30,55700,PE,5,W,OP,,
NSE,D,37427,OPTIDX,0,BANKNIFTY-Jun2024-55800-CE,15,BANKNIFTY 19 JUN 55800 CALL,19-06-2024 14:30,55800,CE,5,W,OP,,
NSE,D,37433,OPTIDX,0,BANKNIFTY-Jun2024-58900-CE,15,BANKNIFTY 19 JUN 58900 CALL,19-06-2024 14:30,58900,CE,5,W,OP,,
NSE,D,37434,OPTIDX,0,BANKNIFTY-Jun2024-58900-PE,15,BANKNIFTY 19 JUN 58900 PUT,19-06-2024 14:30,58900,PE,5,W,OP,,
NSE,D,37446,OPTIDX,0,BANKNIFTY-Jun2024-59100-CE,15,BANKNIFTY 19 JUN 59100 CALL,19-06-2024 14:30,59100,CE,5,W,OP,,
NSE,D,37447,OPTIDX,0,BANKNIFTY-Jun2024-59100-PE,15,BANKNIFTY 19 JUN 59100 PUT,19-06-2024 14:30,59100,PE,5,W,OP,,
NSE,D,37450,OPTIDX,0,BANKNIFTY-Jun2024-59200-CE,15,BANKNIFTY 19 JUN 59200 CALL,19-06-2024 14:30,59200,CE,5,W,OP,,
NSE,D,37451,OPTIDX,0,BANKNIFTY-Jun2024-59200-PE,15,BANKNIFTY 19 JUN 59200 PUT,19-06-2024 14:30,59200,PE,5,W,OP,,
NSE,D,37452,OPTIDX,0,BANKNIFTY-Jun2024-55800-PE,15,BANKNIFTY 19 JUN 55800 PUT,19-06-2024 14:30,55800,PE,5,W,OP,,
NSE,D,37457,OPTIDX,0,BANKNIFTY-Jun2024-55900-CE,15,BANKNIFTY 19 JUN 55900 CALL,19-06-2024 14:30,55900,CE,5,W,OP,,
NSE,D,37458,OPTIDX,0,BANKNIFTY-Jun2024-55900-PE,15,BANKNIFTY 19 JUN 55900 PUT,19-06-2024 14:30,55900,PE,5,W,OP,,
NSE,D,37461,OPTIDX,0,BANKNIFTY-Jun2024-56100-CE,15,BANKNIFTY 19 JUN 56100 CALL,19-06-2024 14:30,56100,CE,5,W,OP,,
NSE,D,37463,OPTIDX,0,BANKNIFTY-Jun2024-56100-PE,15,BANKNIFTY 19 JUN 56100 PUT,19-06-2024 14:30,56100,PE,5,W,OP,,
NSE,D,37464,OPTIDX,0,BANKNIFTY-Jun2024-56200-CE,15,BANKNIFTY 19 JUN 56200 CALL,19-06-2024 14:30,56200,CE,5,W,OP,,
NSE,D,37466,OPTIDX,0,BANKNIFTY-Jun2024-56200-PE,15,BANKNIFTY 19 JUN 56200 PUT,19-06-2024 14:30,56200,PE,5,W,OP,,
NSE,D,37467,OPTIDX,0,BANKNIFTY-Jun2024-56300-CE,15,BANKNIFTY 19 JUN 56300 CALL,19-06-2024 14:30,56300,CE,5,W,OP,,
NSE,D,37468,OPTIDX,0,BANKNIFTY-Jun2024-56300-PE,15,BANKNIFTY 19 JUN 56300 PUT,19-06-2024 14:30,56300,PE,5,W,OP,,
NSE,D,37469,OPTIDX,0,BANKNIFTY-Jun2024-56400-CE,15,BANKNIFTY 19 JUN 56400 CALL,19-06-2024 14:30,56400,CE,5,W,OP,,
NSE,D,37470,OPTIDX,0,BANKNIFTY-Jun2024-59300-CE,15,BANKNIFTY 19 JUN 59300 CALL,19-06-2024 14:30,59300,CE,5,W,OP,,
NSE,D,37471,OPTIDX,0,BANKNIFTY-Jun2024-59300-PE,15,BANKNIFTY 19 JUN 59300 PUT,19-06-2024 14:30,59300,PE,5,W,OP,,
NSE,D,37474,OPTIDX,0,BANKNIFTY-Jun2024-59400-CE,15,BANKNIFTY 19 JUN 59400 CALL,19-06-2024 14:30,59400,CE,5,W,OP,,
NSE,D,37477,OPTIDX,0,BANKNIFTY-Jun2024-59400-PE,15,BANKNIFTY 19 JUN 59400 PUT,19-06-2024 14:30,59400,PE,5,W,OP,,
NSE,D,37479,OPTIDX,0,BANKNIFTY-Jun2024-59600-CE,15,BANKNIFTY 19 JUN 59600 CALL,19-06-2024 14:30,59600,CE,5,W,OP,,
NSE,D,37480,OPTIDX,0,BANKNIFTY-Jun2024-59600-PE,15,BANKNIFTY 19 JUN 59600 PUT,19-06-2024 14:30,59600,PE,5,W,OP,,
NSE,D,37481,OPTIDX,0,BANKNIFTY-Jun2024-59700-CE,15,BANKNIFTY 19 JUN 59700 CALL,19-06-2024 14:30,59700,CE,5,W,OP,,
